*** Node table length = 2044 ***
 Node  UP  DOWN  LEFT RIGHT  KIDS FILOF METOF METCT NDCMP  CHDN  CHIP  NVAL
  0    DN     1    DN    DN     9     0 18981    11     1     1     9    UN
  1     0    10    DN     2     6     2  1859     2     1     1     6    UN
  2     0   212     1     3     7  1861  4209     2     1     1     7    UN
  3     0   464     2     4     7  4211  6499     2     1     1     7    UN
  4     0   709     3     5     7  6501  8747     3     1     1     7    UN
  5     0   947     4     6     7  8750 10897     2     1     1     7    UN
  6     0  1178     5     7     7 10899 13052     3     1     1     7    UN
  7     0  1409     6     8     6 13055 14915     3     1     1     6    UN
  8     0  1611     7     9     7 14918 17284     2     1     1     7    UN
  9     0  1863     8    DN     6 17286 18979     2     1     1     6    UN
 10     1    16    DN    11     4     4   263     3     1     1     4     0
 11     1    44    10    12     5   266   586     3     1     1     5     0
 12     1    79    11    13     5   589   923     4     1     1     5    UN
 13     1   114    12    14     5   927  1261     4     1     1     5    UN
 14     1   149    13    15     4  1265  1521     4     1     1     4     0
 15     1   177    14    DN     5  1525  1856     3     1     1     5     0
 16    10    20    DN    17     3     6    74     6     1     1     3    UN
 17    10    26    16    18     3    80   138     4     1     1     3    UN
 18    10    32    17    19     3   142   199     4     1     1     3    UN
 19    10    38    18    DN     3   203   259     4     1     1     3    UN
 20    16    23    DN    21     1     8    23     8     1     1     1     0
 21    16    24    20    22     1    31    42     8     1     1     1     0
 22    16    25    21    DN     1    50    65     9     1     1     1     0
 23    20    DN    DN    DN     0    10    12    11     1     1     1    51
 24    21    DN    DN    DN     0    33    35     7     1     1     1    40
 25    22    DN    DN    DN     0    52    54    11     1     1     1    46
 26    17    29    DN    27     1    82    94     8     1     1     1     0
 27    17    30    26    28     1   102   112     8     1     1     1    UN
 28    17    31    27    DN     1   120   130     8     1     1     1    UN
 29    26    DN    DN    DN     0    84    86     8     1     1     1    43
 30    27    DN    DN    DN     0   104   106     6     1     1     1    25
 31    28    DN    DN    DN     0   122   124     6     1     1     1    33
 32    18    35    DN    33     1   144   155     8     1     1     1     0
 33    18    36    32    34     1   163   177     5     1     1     1    UN
 34    18    37    33    DN     1   182   194     5     1     1     1    UN
 35    32    DN    DN    DN     0   146   148     7     1     1     1    27
 36    33    DN    DN    DN     0   165   167    10     1     1     1    46
 37    34    DN    DN    DN     0   184   186     8     1     1     1    42
 38    19    41    DN    39     1   205   215     6     1     1     1     0
 39    19    42    38    40     1   221   233     8     1     1     1     0
 40    19    43    39    DN     1   241   252     7     1     1     1    UN
 41    38    DN    DN    DN     0   207   209     6     1     1     1    30
 42    39    DN    DN    DN     0   223   225     8     1     1     1    26
 43    40    DN    DN    DN     0   243   245     7     1     1     1    31
 44    11    49    DN    45     3   268   326     7     1     1     3    UN
 45    11    55    44    46     3   333   394     4     1     1     3     0
 46    11    61    45    47     3   398   451     4     1     1     3     0
 47    11    67    46    48     3   455   517     6     1     1     3     0
 48    11    73    47    DN     3   523   579     7     1     1     3     0
 49    44    52    DN    50     1   270   280     8     1     1     1    UN
 50    44    53    49    51     1   288   301     7     1     1     1     0
 51    44    54    50    DN     1   308   318     8     1     1     1     0
 52    49    DN    DN    DN     0   272   274     6     1     1     1    30
 53    50    DN    DN    DN     0   290   292     9     1     1     1    28
 54    51    DN    DN    DN     0   310   312     6     1     1     1    43
 55    45    58    DN    56     1   335   348     6     1     1     1     0
 56    45    59    55    57     1   354   368     5     1     1     1     0
 57    45    60    56    DN     1   373   386     8     1     1     1     0
 58    55    DN    DN    DN     0   337   339     9     1     1     1    61
 59    56    DN    DN    DN     0   356   358    10     1     1     1    58
 60    57    DN    DN    DN     0   375   377     9     1     1     1    36
 61    46    64    DN    62     1   400   411     5     1     1     1     0
 62    46    65    61    63     1   416   426     5     1     1     1     0
 63    46    66    62    DN     1   431   443     8     1     1     1     0
 64    61    DN    DN    DN     0   402   404     7     1     1     1    18
 65    62    DN    DN    DN     0   418   420     6     1     1     1    32
 66    63    DN    DN    DN     0   433   435     8     1     1     1    29
 67    47    70    DN    68     1   457   468     8     1     1     1     0
 68    47    71    67    69     1   476   486     9     1     1     1    UN
 69    47    72    68    DN     1   495   510     7     1     1     1     0
 70    67    DN    DN    DN     0   459   461     7     1     1     1    39
 71    68    DN    DN    DN     0   478   480     6     1     1     1    25
 72    69    DN    DN    DN     0   497   499    11     1     1     1    57
 73    48    76    DN    74     1   525   535     6     1     1     1    UN
 74    48    77    73    75     1   541   554     6     1     1     1     0
 75    48    78    74    DN     1   560   570     9     1     1     1    UN
 76    73    DN    DN    DN     0   527   529     6     1     1     1    26
 77    74    DN    DN    DN     0   543   545     9     1     1     1    33
 78    75    DN    DN    DN     0   562   564     6     1     1     1    32
 79    12    84    DN    80     3   591   656     4     1     1     3     0
 80    12    90    79    81     3   660   727     6     1     1     3    UN
 81    12    96    80    82     3   733   792     7     1     1     3    UN
 82    12   102    81    83     3   799   855     5     1     1     3    UN
 83    12   108    82    DN     3   860   916     7     1     1     3    UN
 84    79    87    DN    85     1   593   607     8     1     1     1     0
 85    79    88    84    86     1   615   629     6     1     1     1     0
 86    79    89    85    DN     1   635   648     8     1     1     1    UN
 87    84    DN    DN    DN     0   595   597    10     1     1     1    44
 88    85    DN    DN    DN     0   617   619    10     1     1     1    42
 89    86    DN    DN    DN     0   637   639     9     1     1     1    52
 90    80    93    DN    91     1   662   675     8     1     1     1     0
 91    80    94    90    92     1   683   698     7     1     1     1     0
 92    80    95    91    DN     1   705   719     8     1     1     1    UN
 93    90    DN    DN    DN     0   664   666     9     1     1     1    26
 94    91    DN    DN    DN     0   685   687    11     1     1     1    53
 95    92    DN    DN    DN     0   707   709    10     1     1     1    50
 96    81    99    DN    97     1   735   749     6     1     1     1     0
 97    81   100    96    98     1   755   765     7     1     1     1     0
 98    81   101    97    DN     1   772   785     7     1     1     1     0
 99    96    DN    DN    DN     0   737   739    10     1     1     1    38
