FileNum,Date,Time,Size,FileName,RelPath,AbsPath,Code
1,09/05/2013,09:26 PM,3940,#so-14.wings#,\KiCAD\modules\packages3d\smd,C:\Users\Doug\Documents\DougsPCBDesigns\KiCAD\modules\packages3d\smd,name/size/path match
2,03/23/2013,11:59 PM,3940,#so-14.wings#,\KiCAD\modules\packages3d\smd,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\KiCAD\modules\packages3d\smd,name/size/path match
1,09/05/2013,09:24 PM,23837,$savepcb.000,\FTDI-USB-TTL\FTDI-USB-TTL v2,C:\Users\Doug\Documents\DougsPCBDesigns\FTDI-USB-TTL\FTDI-USB-TTL v2,name/size/path match
2,03/23/2013,11:59 PM,23837,$savepcb.000,\FTDI-USB-TTL\FTDI-USB-TTL v2,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\FTDI-USB-TTL\FTDI-USB-TTL v2,name/size/path match
1,09/05/2013,09:25 PM,132418,$savepcb.000,\GVSDuino\GVSDuino-V1,C:\Users\Doug\Documents\DougsPCBDesigns\GVSDuino\GVSDuino-V1,name/size/path match
2,03/23/2013,11:59 PM,132418,$savepcb.000,\GVSDuino\GVSDuino-V1,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\GVSDuino\GVSDuino-V1,name/size/path match
1,09/05/2013,09:25 PM,132418,$savepcb.000,\GVSDuino\GVSDuino-X2,C:\Users\Doug\Documents\DougsPCBDesigns\GVSDuino\GVSDuino-X2,name/size/path match
2,03/23/2013,11:59 PM,132418,$savepcb.000,\GVSDuino\GVSDuino-X2,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\GVSDuino\GVSDuino-X2,name/size/path match
1,09/05/2013,09:25 PM,28811,$savepcb.000,\HVDigitalPot2A,C:\Users\Doug\Documents\DougsPCBDesigns\HVDigitalPot2A,name/size/path match
2,03/23/2013,11:59 PM,28811,$savepcb.000,\HVDigitalPot2A,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\HVDigitalPot2A,name/size/path match
1,09/05/2013,09:25 PM,30722,$savepcb.000,\HVDigitalPot\HVPotV1,C:\Users\Doug\Documents\DougsPCBDesigns\HVDigitalPot\HVPotV1,name/size/path match
2,03/23/2013,11:59 PM,30722,$savepcb.000,\HVDigitalPot\HVPotV1,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\HVDigitalPot\HVPotV1,name/size/path match
1,09/05/2013,09:25 PM,27697,$savepcb.000,\I2C16Bit\I2C18BitV1,C:\Users\Doug\Documents\DougsPCBDesigns\I2C16Bit\I2C18BitV1,name/size/path match
2,03/23/2013,11:59 PM,27697,$savepcb.000,\I2C16Bit\I2C18BitV1,C:\Users\Doug\Documents\DougsPCBDesigns-OLD\I2C16Bit\I2C18BitV1,name/size/path match
